input_type,kernel,fit_time,eval_time,accuracy,test_set
images,linear,0.002677174508571625,0.0008114552497863769,0.565,set_0
images,linear,0.0025047942996025085,0.000835418701171875,0.575,set_1
images,linear,0.0024862390756607055,0.0008707022666931152,0.61,set_2
images,linear,0.002342715263366699,0.0010837030410766602,0.54,set_3
images,linear,0.0026582020521163942,0.0008144748210906983,0.6,set_4
features,linear,6.801247596740722e-05,5.587577819824219e-05,0.505,set_0
features,linear,6.640195846557617e-05,6.131529808044434e-05,0.625,set_1
features,linear,6.398320198059082e-05,5.9276819229125977e-05,0.66,set_2
features,linear,7.46414065361023e-05,5.892038345336914e-05,0.6,set_3
features,linear,6.811320781707764e-05,6.355047225952149e-05,0.64,set_4
images,poly_2,0.0012595850229263307,0.001060476303100586,0.62,set_0
images,poly_2,0.0012557151913642883,0.0010998988151550294,0.6,set_1
images,poly_2,0.0012813404202461243,0.00117958664894104,0.655,set_2
images,poly_2,0.0012845289707183838,0.0010341155529022218,0.66,set_3
images,poly_2,0.0012125813961029054,0.0010457122325897216,0.64,set_4
features,poly_2,7.520467042922973e-05,6.641864776611328e-05,0.57,set_0
features,poly_2,8.130133152008057e-05,7.710933685302735e-05,0.605,set_1
features,poly_2,8.029162883758545e-05,8.644580841064453e-05,0.635,set_2
features,poly_2,8.192211389541626e-05,7.572531700134278e-05,0.61,set_3
features,poly_2,7.879704236984252e-05,6.988644599914551e-05,0.665,set_4
images,poly_3,0.00133098304271698,0.0009772980213165283,0.595,set_0
images,poly_3,0.001155257523059845,0.000975492000579834,0.62,set_1
images,poly_3,0.001182485520839691,0.0008942031860351562,0.655,set_2
images,poly_3,0.0011857408285140991,0.000925137996673584,0.655,set_3
images,poly_3,0.0013918647170066834,0.0010445070266723632,0.71,set_4
features,poly_3,8.900851011276245e-05,7.663249969482422e-05,0.62,set_0
features,poly_3,8.46371054649353e-05,7.576704025268555e-05,0.625,set_1
features,poly_3,9.070247411727905e-05,7.82942771911621e-05,0.63,set_2
features,poly_3,8.598506450653076e-05,7.462263107299805e-05,0.595,set_3
features,poly_3,8.301377296447754e-05,7.462978363037109e-05,0.68,set_4
