input_type,k,fit_time,eval_time,accuracy,test_set
images,1,2.3314356803894044e-07,0.0009342248439788818,0.6345,set_0
images,1,1.851022243499756e-07,0.0009475232362747192,0.6355,set_1
images,1,1.7645955085754395e-07,0.0009775140285491943,0.626,set_2
images,1,1.7583370208740235e-07,0.0010545132160186767,0.638,set_3
images,1,1.5726685523986817e-07,0.0009356241226196289,0.641,set_4
features,1,4.3907761573791506e-07,0.00037012135982513426,0.6585,set_0
features,1,5.331039428710938e-07,0.00039397799968719484,0.6455,set_1
features,1,4.3198466300964353e-07,0.00031164133548736573,0.635,set_2
features,1,4.4330954551696777e-07,0.00030446982383728027,0.6265,set_3
features,1,4.303157329559326e-07,0.00029199624061584473,0.633,set_4
images,2,1.6430020332336425e-07,0.0009867879152297974,0.62,set_0
images,2,1.6814470291137696e-07,0.0009527803659439087,0.6065,set_1
images,2,1.5801191329956054e-07,0.0010300974845886231,0.619,set_2
images,2,1.652240753173828e-07,0.001026341676712036,0.6125,set_3
images,2,1.6301870346069335e-07,0.0009799071550369264,0.6175,set_4
features,2,4.343390464782715e-07,0.0003208822011947632,0.666,set_0
features,2,4.5123696327209473e-07,0.0003187791109085083,0.6555,set_1
features,2,7.240772247314453e-07,0.00030015337467193605,0.639,set_2
features,2,5.251169204711914e-07,0.0003059259653091431,0.6345,set_3
features,2,4.456937313079834e-07,0.0003148980140686035,0.64,set_4
images,3,1.583099365234375e-07,0.0009963974952697755,0.647,set_0
images,3,1.5735626220703126e-07,0.0009735426902770996,0.638,set_1
images,3,1.7049908638000489e-07,0.0010106818675994873,0.638,set_2
images,3,1.608729362487793e-07,0.0010384039878845214,0.651,set_3
images,3,1.5398859977722167e-07,0.000982329249382019,0.6435,set_4
features,3,4.70280647277832e-07,0.0003426642417907715,0.6665,set_0
features,3,6.017088890075684e-07,0.00031383955478668214,0.6525,set_1
features,3,4.730522632598877e-07,0.0003237628936767578,0.651,set_2
features,3,4.3633580207824707e-07,0.0003452653884887695,0.6405,set_3
features,3,4.348456859588623e-07,0.00033441245555877687,0.63,set_4
images,4,1.6823410987854003e-07,0.0010574716329574585,0.6305,set_0
images,4,1.6519427299499512e-07,0.0009385727643966675,0.6265,set_1
images,4,1.652836799621582e-07,0.001008738398551941,0.634,set_2
images,4,1.697838306427002e-07,0.001086194634437561,0.624,set_3
images,4,1.7279386520385742e-07,0.001232542872428894,0.6385,set_4
features,4,4.881024360656738e-07,0.00041732704639434816,0.672,set_0
features,4,5.107820034027099e-07,0.00039538955688476563,0.662,set_1
features,4,4.653036594390869e-07,0.00035090017318725584,0.6525,set_2
features,4,4.284083843231201e-07,0.00033902597427368166,0.644,set_3
