input_type,k,fit_time,eval_time,accuracy,test_set
features,4,4.423856735229492e-07,0.000340546727180481,0.634,set_4
images,5,1.576244831085205e-07,0.0010387455224990846,0.649,set_0
images,5,1.6194581985473633e-07,0.001063275694847107,0.6435,set_1
images,5,1.576840877532959e-07,0.0010318591594696044,0.644,set_2
images,5,1.7699599266052246e-07,0.0010836174488067626,0.6475,set_3
images,5,1.6051530838012696e-07,0.0011091678142547607,0.652,set_4
features,5,1.1378228664398194e-06,0.00039435279369354247,0.682,set_0
features,5,7.753372192382812e-07,0.0003930515050888062,0.663,set_1
features,5,7.344186305999756e-07,0.0003701739311218262,0.6485,set_2
features,5,4.3520331382751464e-07,0.00039420449733734134,0.647,set_3
features,5,5.804598331451416e-07,0.00040538454055786134,0.632,set_4
images,10,2.522170543670654e-07,0.0011190981864929199,0.639,set_0
images,10,1.6865134239196777e-07,0.0010718958377838135,0.6335,set_1
images,10,1.6137957572937012e-07,0.0011427910327911376,0.6495,set_2
images,10,1.53958797454834e-07,0.001031708002090454,0.64,set_3
images,10,1.7353892326354982e-07,0.0010530166625976561,0.6525,set_4
features,10,4.792511463165283e-07,0.00043998336791992187,0.6805,set_0
features,10,5.361735820770264e-07,0.00034629178047180175,0.664,set_1
features,10,5.384385585784912e-07,0.00034641945362091063,0.665,set_2
features,10,5.59687614440918e-07,0.00036211156845092774,0.6425,set_3
features,10,6.165504455566406e-07,0.00038988208770751956,0.638,set_4
images,15,2.0834803581237792e-07,0.0010618399381637574,0.6395,set_0
images,15,1.9860267639160155e-07,0.001101470708847046,0.6315,set_1
images,15,1.9112229347229005e-07,0.0011186177730560303,0.6595,set_2
images,15,1.6549229621887207e-07,0.0010907630920410157,0.6575,set_3
images,15,1.838207244873047e-07,0.0010739783048629762,0.651,set_4
features,15,6.106793880462646e-07,0.0003920656442642212,0.666,set_0
features,15,4.347264766693115e-07,0.00035981738567352297,0.658,set_1
features,15,5.352497100830078e-07,0.00037131309509277346,0.6725,set_2
features,15,4.3708086013793946e-07,0.0004032251834869385,0.647,set_3
features,15,5.623996257781982e-07,0.00037646079063415527,0.6325,set_4
images,20,1.8540024757385254e-07,0.0010338393449783325,0.6245,set_0
images,20,1.6838312149047853e-07,0.0012957878112792968,0.626,set_1
images,20,2.863407135009766e-07,0.0010951204299926758,0.667,set_2
images,20,1.7088651657104492e-07,0.001246752381324768,0.651,set_3
images,20,2.8502941131591797e-07,0.0013419078588485717,0.6475,set_4
features,20,4.679858684539795e-07,0.000389945387840271,0.675,set_0
features,20,4.3907761573791506e-07,0.0004484677314758301,0.653,set_1
features,20,4.94241714477539e-07,0.00040049803256988527,0.6675,set_2
features,20,4.3055415153503416e-07,0.00038032400608062746,0.6455,set_3
features,20,4.999637603759766e-07,0.0003846970796585083,0.6325,set_4
images,30,2.906322479248047e-07,0.0011015058755874634,0.622,set_0
images,30,1.729726791381836e-07,0.0010996322631835938,0.625,set_1
images,30,1.6945600509643555e-07,0.0010521622896194458,0.6715,set_2
images,30,2.594888210296631e-07,0.0011008943319320678,0.653,set_3
images,30,1.6194581985473633e-07,0.0010949071645736694,0.646,set_4
features,30,5.233883857727051e-07,0.00042945361137390137,0.6725,set_0
features,30,4.4125318527221677e-07,0.0003857724666595459,0.6585,set_1
features,30,5.343854427337647e-07,0.00046073079109191893,0.6515,set_2
features,30,6.16908073425293e-07,0.000388993501663208,0.649,set_3
features,30,5.356669425964356e-07,0.0003912428617477417,0.626,set_4
images,40,1.7461180686950684e-07,0.0010449644327163697,0.6295,set_0
images,40,1.8534064292907716e-07,0.0010368508100509644,0.62,set_1
images,40,1.868009567260742e-07,0.0010305608510971069,0.676,set_2
images,40,2.2614002227783203e-07,0.0011403380632400513,0.648,set_3
images,40,1.8021464347839355e-07,0.0011761146783828736,0.6345,set_4
features,40,5.713403224945068e-07,0.0003891690969467163,0.666,set_0
features,40,6.83605670928955e-07,0.0004732702970504761,0.663,set_1
features,40,5.610883235931397e-07,0.0004732705354690552,0.664,set_2
features,40,5.382299423217773e-07,0.0003617619276046753,0.643,set_3
features,40,5.28186559677124e-07,0.000369623064994812,0.62,set_4
images,50,1.8015503883361816e-07,0.0010609769821166993,0.624,set_0
images,50,1.7446279525756836e-07,0.0011195944547653198,0.618,set_1
images,50,1.7145276069641114e-07,0.0010836321115493775,0.673,set_2
images,50,1.557767391204834e-07,0.0011775192022323608,0.641,set_3
images,50,1.939535140991211e-07,0.001097322940826416,0.623,set_4
features,50,5.181729793548584e-07,0.000486885666847229,0.6715,set_0
features,50,5.594491958618164e-07,0.0004905900955200196,0.656,set_1
features,50,5.314350128173828e-07,0.000404451847076416,0.6515,set_2
features,50,5.265474319458008e-07,0.00035755693912506106,0.644,set_3
features,50,5.300641059875489e-07,0.0003580529689788818,0.6295,set_4
